,Country,Year,New Age-Standardized Death Rate
18934,Qatar,2017,80.19149067
18972,Romania,2017,1338.8551882
19017,Romania,2016,1311.2678383
19209,Russian Federation,2017,1254.8092978
19231,Romania,2018,1359.9115985
19396,Romania,2015,1318.3551696
19481,Russian Federation,2018,1254.9641972
19531,Singapore,2017,498.33627347
19584,El Salvador,2018,583.56147401
19628,El Salvador,2017,623.57880856
19652,Russian Federation,2015,1303.5948069
19798,Singapore,2018,503.09404717
19848,Serbia,2017,1477.3408036
19906,Singapore,2016,479.36232811
19940,Serbia,2016,1428.5831675
20094,Slovakia,2018,996.79250301
20139,El Salvador,2015,646.13753027
20159,Slovakia,2017,991.20620257
20215,Cyprus,2018,663.66099288
20233,Serbia,2019,1460.8288992
20252,Slovenia,2019,1001.768227
20391,Slovenia,2016,953.81304799
20486,Slovenia,2015,961.37953164
20546,Slovakia,2019,976.02796551
20593,Sweden,2016,917.76902042
20636,Sweden,2015,938.54138095
20656,Seychelles,2019,814.34058899
20693,Slovakia,2016,963.96523715
20759,Seychelles,2017,782.01165757
20776,Slovenia,2018,991.34142989
20807,Seychelles,2015,740.17140812
20853,Cyprus,2015,698.24235545
20934,Thailand,2019,754.05920467
21003,Thailand,2018,706.07549851
21038,Sweden,2017,915.46797863
21067,Thailand,2015,685.80935597
21137,Tajikistan,2017,370.34908269
21268,Seychelles,2016,776.30341657
21398,T?rkiye,2017,527.71106597
21459,Thailand,2017,702.41764574
21468,T?rkiye,2016,529.93794164
21504,T?rkiye,2015,507.51562172
21637,Ukraine,2017,1356.7568416
21773,Turkmenistan,2015,579.43103384
21834,Uruguay,2018,989.42244552
21851,T?rkiye,2018,523.84675931
21959,Uruguay,2016,1000.9260749
22060,Ukraine,2018,1395.8733891
22240,United States of America,2017,865.46752749
22318,United States of America,2016,849.57031307
22356,Uruguay,2017,965.27394046
22430,Uzbekistan,2018,470.05866805
22489,Uruguay,2015,966.20495432
22497,Uzbekistan,2017,496.23384009
22554,Germany,2017,1127.8802354
22596,Saint Vincent and the Grenadines,2019,876.21734531
22693,United States of America,2018,868.00287982
22771,Saint Vincent and the Grenadines,2016,843.23810742
22833,United States of America,2015,845.37655412
22955,Venezuela (Bolivarian Republic of),2015,559.33434101
23019,South Africa,2018,782.70512456
23057,Uzbekistan,2015,485.75144536
23135,Saint Vincent and the Grenadines,2018,842.02121385
23149,South Africa,2016,839.66334402
23218,South Africa,2015,830.95538655
23340,Bahamas,2015,596.99737578
23369,Venezuela (Bolivarian Republic of),2016,638.07702557
23387,Canada,2018,770.62002782
23491,France,2019,917.12650788
23508,France,2018,914.76568136
23578,South Africa,2017,805.27094345
23638,Croatia,2018,1268.0669954
23709,Ireland,2019,628.90354708
23753,Denmark,2017,919.17244445
23851,Iran (Islamic Republic of),2017,432.85631857
23901,Sri Lanka,2019,686.54489343
23970,Sri Lanka,2015,631.38908325
24265,Ireland,2017,632.27320488
24283,Australia,2018,635.57409053
24434,Dominican Republic,2017,404.65689296
24472,Sweden,2019,868.53761502
24550,Dominican Republic,2015,388.38983512
24581,Ecuador,2019,422.65700806
24626,Ecuador,2016,409.34767544
24767,Spain,2017,912.30779447
24816,Estonia,2019,1145.5529673
24863,Estonia,2016,1169.1079766
24895,Finland,2019,977.28821807
24973,France,2017,911.10171358
25088,United Kingdom of Great Britain and Northern Ireland,2015,925.7881819
25103,Georgia,2019,1254.2199115
25152,Georgia,2016,1362.0639007
25255,Greece,2016,1103.8615574
25341,Grenada,2016,815.3381522
25373,Guatemala,2019,486.8761842
25451,French Guiana,2016,336.41872743
25532,Guyana,2016,645.21732818
25614,"China, Hong Kong SAR",2015,641.27110392
25679,Croatia,2015,1289.488734
25728,Hungary,2017,1345.2641744
25809,Iran (Islamic Republic of),2016,425.1480771
25888,Iceland,2018,640.16693104
25951,Israel,2019,508.10501791
25997,Israel,2016,514.46236483
26044,Italy,2018,1057.0630858
26123,Jordan,2017,190.35662027
26202,Japan,2017,1075.3417104
26250,Kazakhstan,2019,719.07935287
26299,Kazakhstan,2016,736.24543497
26380,Kyrgyzstan,2016,540.05306152
26454,Republic of Korea,2018,582.48513476
26534,Kuwait,2018,149.14649946
26579,Kuwait,2015,160.44283311
26629,Saint Lucia,2018,627.30566444
26726,Lithuania,2018,1412.5787111
26819,Luxembourg,2017,672.77507982
26866,Latvia,2019,1436.4976044
26912,Latvia,2016,1439.8809515
26993,Republic of Moldova,2015,1122.8133754
27026,Maldives,2018,252.28041327
27047,Maldives,2017,249.99899275
27255,North Macedonia,2015,988.34619988
27304,Malta,2015,797.10883094
27351,Mongolia,2019,538.80066129
27394,Mongolia,2016,523.88327588
27491,Mauritius,2016,812.30710777
27521,Malaysia,2019,341.67374627
27675,Nicaragua,2017,373.16483436
27719,Nicaragua,2015,359.28230311
27772,Netherlands,2017,876.72698243
27852,New Zealand,2016,669.08033951
27904,Oman,2018,167.53380752
